date,bullish,neutral,bearish,spread
12-24-92,55.0%,30.0%,15.0%,0.4
1-1-93,60.0%,27.0%,13.0%,0.47
1-8-93,20.0%,49.0%,31.0%,-0.11
1-15-93,54.0%,32.0%,14.0%,0.4
1-22-93,41.0%,38.0%,21.0%,0.2
1-29-93,40.0%,37.0%,23.0%,0.17
2-5-93,44.0%,34.0%,22.0%,0.22
2-12-93,47.0%,31.0%,22.0%,0.25
2-19-93,46.0%,27.0%,27.0%,0.19
2-26-93,34.0%,32.0%,34.0%,0
3-5-93,27.0%,36.0%,37.0%,-0.1
3-12-93,45.0%,33.0%,22.0%,0.23
3-19-93,41.0%,32.0%,27.0%,0.14
3-26-93,43.0%,34.0%,23.0%,0.2
4-2-93,37.0%,36.0%,27.0%,0.1
4-9-93,32.0%,39.0%,29.0%,0.03
4-16-93,31.0%,35.0%,34.0%,-0.03
4-23-93,28.0%,42.0%,30.0%,-0.02
4-30-93,22.0%,37.0%,41.0%,-0.19
5-7-93,21.0%,45.0%,34.0%,-0.13
5-14-93,20.0%,41.0%,39.0%,-0.19
5-21-93,21.0%,34.0%,45.0%,-0.24
5-28-93,24.0%,37.0%,39.0%,-0.15
6-4-93,33.0%,39.0%,28.0%,0.05
6-11-93,23.0%,36.0%,41.0%,-0.18
6-18-93,22.0%,35.0%,43.0%,-0.21
6-25-93,28.0%,38.0%,34.0%,-0.06
7-2-93,18.0%,44.0%,38.0%,-0.2
7-9-93,21.0%,45.0%,34.0%,-0.13
7-16-93,22.0%,44.0%,34.0%,-0.12
7-23-93,24.0%,43.0%,33.0%,-0.09
7-30-93,25.0%,45.0%,30.0%,-0.05
8-6-93,26.0%,42.0%,32.0%,-0.06
8-13-93,25.0%,41.0%,34.0%,-0.09
8-20-93,29.0%,41.0%,30.0%,-0.01
8-27-93,27.0%,35.0%,38.0%,-0.11
9-3-93,38.0%,33.0%,29.0%,0.09
9-10-93,30.0%,30.0%,40.0%,-0.1
9-17-93,32.0%,34.0%,34.0%,-0.02
9-24-93,28.0%,40.0%,32.0%,-0.04
10-1-93,26.0%,34.0%,40.0%,-0.14
10-8-93,29.0%,37.0%,34.0%,-0.05
10-15-93,31.0%,38.0%,31.0%,0
10-22-93,42.0%,30.0%,28.0%,0.14
10-29-93,43.0%,33.0%,24.0%,0.19
11-4-93,32.0%,36.0%,32.0%,0
11-11-93,35.0%,30.0%,35.0%,0
11-18-93,34.0%,31.0%,35.0%,-0.01
11-24-93,45.0%,30.0%,25.0%,0.2
12-2-93,33.0%,32.0%,35.0%,-0.02
12-9-93,37.0%,39.0%,24.0%,0.13
12-16-93,33.0%,38.0%,29.0%,0.04
12-23-93,36.0%,31.0%,33.0%,0.03
12-30-93,44.0%,28.0%,28.0%,0.16
