caldt,prtnam,totret
1975-04-30,1,0.049066
1975-05-30,1,0.054417
1975-06-30,1,0.040555
1975-07-31,1,-0.068987
1975-08-29,1,-0.015870
1975-09-30,1,-0.035627
1975-10-31,1,0.065622
1975-11-28,1,0.029744
1975-12-31,1,-0.014829
1976-01-30,1,0.110825
1976-02-27,1,-0.017935
1976-03-31,1,0.039468
1976-04-30,1,-0.010507
1976-05-28,1,-0.007292
1976-06-30,1,0.041786
1976-07-30,1,-0.008950
1976-08-31,1,0.003648
1976-09-30,1,0.026143
1976-10-29,1,-0.019788
1976-11-30,1,-0.007406
1976-12-31,1,0.047779
1977-01-31,1,-0.049136
1977-02-28,1,-0.014359
1977-03-31,1,-0.018131
1977-04-29,1,-0.003560
1977-05-31,1,-0.015963
1977-06-30,1,0.047691
1977-07-29,1,-0.013419
1977-08-31,1,-0.011458
1977-09-30,1,-0.001741
1977-10-31,1,-0.043057
1977-11-30,1,0.031196
1977-12-30,1,0.004433
1978-01-31,1,-0.062304
1978-02-28,1,-0.016123
1978-03-31,1,0.019537
1978-04-28,1,0.090202
1978-05-31,1,0.006774
1978-06-30,1,-0.018191
1978-07-31,1,0.055504
1978-08-31,1,0.029857
1978-09-29,1,-0.005325
1978-10-31,1,-0.076518
1978-11-30,1,0.030206
1978-12-29,1,0.020360
1979-01-31,1,0.035250
1979-02-28,1,-0.028073
1979-03-30,1,0.048989
1979-04-30,1,0.003253
1979-05-31,1,-0.019266
1979-06-29,1,0.035080
1979-07-31,1,0.005416
1979-08-31,1,0.057012
1979-09-28,1,0.001934
1979-10-31,1,-0.055691
1979-11-30,1,0.050131
1979-12-31,1,0.011368
1980-01-31,1,0.061414
1980-02-29,1,0.014138
1980-03-31,1,-0.095080
1980-04-30,1,0.041897
1980-05-30,1,0.047605
1980-06-30,1,0.027565
1980-07-31,1,0.055117
1980-08-29,1,0.013607
1980-09-30,1,0.025722
1980-10-31,1,0.022177
1980-11-28,1,0.129438
1980-12-31,1,-0.039318
1981-01-30,1,-0.057876
1981-02-27,1,0.017827
1981-03-31,1,0.018577
1981-04-30,1,-0.030244
1981-05-29,1,-0.002919
1981-06-30,1,-0.000935
1981-07-31,1,0.010884
1981-08-31,1,-0.053274
1981-09-30,1,-0.049772
1981-10-30,1,0.050063
1981-11-30,1,0.050063
1981-12-31,1,-0.032456
1982-01-29,1,-0.013536
1982-02-26,1,-0.053725
1982-03-31,1,-0.007250
1982-04-30,1,0.035758
1982-05-28,1,-0.020483
1982-06-30,1,-0.015181
1982-07-30,1,-0.018797
1982-08-31,1,0.127737
1982-09-30,1,0.007359
1982-10-29,1,0.103566
1982-11-30,1,0.037692
1982-12-31,1,0.012969
1983-01-31,1,0.039121
1983-02-28,1,0.024458
1983-03-31,1,0.031134
1983-04-29,1,0.078344
1983-05-31,1,-0.022121
1983-06-30,1,0.039431
1983-07-29,1,-0.033291
1983-08-31,1,0.022587
1983-09-30,1,0.011791
1983-10-31,1,-0.008084
1983-11-30,1,0.016320
1983-12-30,1,-0.003744
1984-01-31,1,0.006539
