caldt,vwretd,vwretx,usdval,usdcnt
1926-10-18,0.008787,0.008787,15977962.00,84
1926-10-19,-0.012061,-0.012061,16118353.90,84
1926-10-20,0.000422,0.000366,15923945.40,84
1926-10-21,0.017210,0.017147,15929678.00,84
1926-10-22,-0.005123,-0.005151,16202820.80,84
1926-10-23,0.004855,0.004855,16119362.80,84
1926-10-25,-0.000297,-0.000297,16197618.70,84
1926-10-26,0.002688,0.002688,16192810.00,84
1926-10-27,0.012247,0.012247,16236343.20,84
1926-10-28,-0.001960,-0.002074,16435184.00,84
1926-10-29,-0.000714,-0.001381,16401096.40,84
1926-10-30,-0.002630,-0.002630,16259801.10,82
1926-11-01,0.005396,0.004857,16217044.30,82
1926-11-03,0.002668,0.002668,16425506.60,84
1926-11-04,0.007209,0.007209,16469325.80,84
1926-11-05,-0.000305,-0.000437,16588053.00,84
1926-11-06,0.001715,0.001715,16580812.10,84
1926-11-08,0.006382,0.006382,16609244.90,84
1926-11-09,-0.000064,-0.000064,16715251.20,84
1926-11-10,-0.007294,-0.008012,16714173.60,84
1926-11-11,0.007018,0.007018,16580257.20,84
1926-11-12,0.002837,0.002837,16696622.00,84
1926-11-13,-0.003800,-0.003800,16743992.80,84
1926-11-15,0.004012,0.003177,16680368.20,84
1926-11-16,0.002936,0.002911,16863504.40,84
1926-11-17,-0.003963,-0.003963,16912592.40,84
1926-11-18,-0.005428,-0.005606,16845560.90,84
1926-11-19,-0.007979,-0.010963,16751118.80,84
1926-11-20,0.003662,0.003662,16567476.60,84
1926-11-22,0.005843,0.005843,16576144.40,83
1926-11-23,0.004405,0.004405,16673000.80,83
1926-11-24,0.000397,0.000397,16857459.60,85
1926-11-26,0.003156,0.002362,16813098.80,84
1926-11-27,-0.001429,-0.001429,16940331.80,84
1926-11-29,-0.003417,-0.003417,16916117.10,84
1926-11-30,0.003114,0.001953,16858322.60,84
1926-12-01,0.002556,0.001625,16907546.60,84
1926-12-02,0.004838,0.004838,16935021.90,84
1926-12-03,0.002793,0.001962,17016954.50,84
1926-12-04,-0.001293,-0.001293,17050356.90,84
1926-12-06,0.000897,0.000897,17028312.90,84
1926-12-07,-0.001264,-0.001279,17043584.00,84
1926-12-08,-0.001366,-0.001501,17021783.30,84
1926-12-09,0.004796,0.004710,16996231.40,84
1926-12-10,0.004124,0.003835,17076276.00,84
1926-12-11,0.000898,0.000898,17141763.10,84
1926-12-13,0.003377,0.003319,17143701.30,83
1926-12-14,0.001213,0.001213,17200601.60,83
1926-12-15,0.002131,0.001206,17235542.00,84
1926-12-16,-0.005850,-0.005850,17256321.10,84
1926-12-17,0.010797,0.010160,17155379.50,84
1926-12-18,0.004671,0.004671,17329677.00,84
1926-12-20,-0.002059,-0.002163,17388615.70,83
1926-12-21,-0.000195,-0.000195,17161232.20,81
1926-12-22,-0.000282,-0.000282,17179636.80,82
1926-12-23,0.003182,0.003067,17367599.60,84
1926-12-24,0.002512,0.002426,17393623.50,83
1926-12-27,-0.002874,-0.002925,17435812.80,83
1926-12-28,-0.011453,-0.011453,17411931.10,84
1926-12-29,0.004787,0.004787,17212514.80,84
1926-12-30,-0.004444,-0.005215,17294903.50,84
1926-12-31,0.003358,0.002743,17204713.40,84
1927-01-03,-0.008618,-0.008672,17028798.80,84
1927-01-04,0.003065,0.003065,16881124.80,84
1927-01-05,0.000353,0.000353,16990761.60,85
1927-01-06,-0.002886,-0.002886,16927596.50,84
1927-01-07,0.004159,0.003909,16878749.00,84
1927-01-08,0.002361,0.002361,16944727.80,84
1927-01-10,0.001839,0.001581,16984726.70,84
1927-01-11,-0.002884,-0.002884,17079292.60,85
1927-01-12,0.001962,0.001962,17030041.20,85
1927-01-13,-0.000270,-0.000352,17063461.60,85
1927-01-14,0.000657,-0.000340,17057453.90,85
1927-01-15,0.001562,0.001562,17051653.60,85
1927-01-17,-0.000974,-0.000974,17078294.80,85
1927-01-18,-0.000542,-0.000542,16789786.40,84
1927-01-19,0.006041,0.006041,16780680.80,84
1927-01-20,-0.000893,-0.001163,17155805.20,85
1927-01-21,-0.001481,-0.001588,17159940.30,85
1927-01-22,-0.003790,-0.003790,17132684.70,85
1927-01-24,-0.005008,-0.005031,16765696.10,84
1927-01-25,-0.011375,-0.011375,16681347.80,84
1927-01-26,0.001747,0.001747,16779743.40,85
1927-01-27,-0.003850,-0.003850,16814568.60,85
1927-01-28,0.001863,0.001516,16749833.90,85
1927-01-29,0.008495,0.008495,16775233.60,85
1927-01-31,0.006255,0.005969,16917734.20,85
1927-02-01,-0.001505,-0.002020,16961910.60,84
1927-02-02,0.009638,0.009638,16927642.90,84
1927-02-03,0.001654,0.001654,17090786.00,84
1927-02-04,0.002386,0.002386,16958321.60,83
1927-02-05,-0.002766,-0.002766,16998792.00,83
1927-02-07,-0.001030,-0.001424,17167965.90,85
1927-02-08,0.000072,0.000072,17085685.50,84
1927-02-09,0.000556,0.000556,17086910.60,84
1927-02-10,0.001447,0.000940,17096413.40,84
1927-02-11,0.004792,0.004792,17112489.10,84
1927-02-14,0.004225,0.004225,17194500.50,84
1927-02-15,0.001063,0.000416,17324556.60,85
1927-02-16,0.000026,0.000026,17331755.80,85
1927-02-17,0.004635,0.004635,17274163.20,84
1927-02-18,0.003452,0.002385,17354226.00,84
1927-02-19,0.000421,0.000421,17405585.00,84
1927-02-21,-0.002045,-0.002045,17412910.10,84
1927-02-23,0.008068,0.008068,17437761.00,85
1927-02-24,0.000424,0.000424,17578447.50,85
1927-02-25,0.002429,0.001596,17585892.00,85
1927-02-26,0.000453,0.000453,17611118.60,84
1927-02-28,0.006420,0.005524,17619103.10,84
1927-03-01,-0.002925,-0.003635,17776303.50,85
1927-03-02,-0.013155,-0.013155,17711682.80,85
1927-03-03,0.012300,0.012300,17478678.40,85
1927-03-04,-0.006260,-0.007511,17693668.80,85
1927-03-05,-0.002547,-0.002547,17560774.40,85
1927-03-07,-0.003554,-0.003554,17516053.50,85
1927-03-08,0.001780,0.001646,17471213.50,85
1927-03-09,0.005730,0.005646,17499963.90,85
1927-03-10,0.005052,0.005052,17598768.10,85
1927-03-11,0.002229,0.002082,17687683.50,85
1927-03-12,-0.000675,-0.000675,17574309.50,84
1927-03-14,0.002368,0.002077,17562442.00,84
1927-03-15,-0.007267,-0.007671,17750609.20,85
1927-03-16,0.008579,0.008516,17614439.80,85
1927-03-17,0.004690,0.004215,17764449.80,85
1927-03-18,-0.007122,-0.007150,17839327.00,85
1927-03-19,0.000369,0.000369,17647942.90,84
1927-03-21,0.002960,0.002862,17654446.20,84
1927-03-22,-0.010411,-0.010411,17768725.80,85
1927-03-23,0.003246,0.003246,17583741.60,85
1927-03-24,0.006173,0.006173,17640816.90,85
1927-03-25,0.000725,0.000466,17749706.10,85
1927-03-26,0.002515,0.002515,17757973.30,85
1927-03-28,0.005940,0.005890,17802642.10,85
1927-03-29,-0.001966,-0.001966,17907503.00,85
1927-03-30,-0.004723,-0.004723,17872292.20,85
1927-03-31,0.003726,0.002978,17787888.30,85
1927-04-01,0.000410,0.000240,17883291.60,85
1927-04-02,-0.001461,-0.001461,17887591.90,85
1927-04-04,0.006415,0.006363,17862638.10,85
1927-04-05,0.004140,0.003959,17976306.60,85
1927-04-06,0.000276,0.000276,18047466.60,85
1927-04-07,0.001557,0.001557,18052452.80,85
1927-04-08,0.004243,0.004068,18080563.90,85
1927-04-09,0.000407,0.000407,18141784.80,84
1927-04-11,0.002567,0.002484,18149173.00,84
1927-04-12,-0.003139,-0.003139,18198092.20,84
1927-04-13,0.003286,0.003209,18140973.80,84
1927-04-14,0.001384,0.000924,18199193.20,84
1927-04-16,0.002369,0.002369,18216011.00,84
1927-04-18,-0.000557,-0.000557,18271320.40,85
1927-04-19,0.001076,0.001076,18261150.00,85
1927-04-20,0.003318,0.003035,18280804.80,85
1927-04-21,0.005326,0.005226,18324293.10,84
1927-04-22,0.002767,0.002745,18420055.10,84
1927-04-23,-0.003021,-0.003021,18470626.90,84
1927-04-25,-0.015292,-0.015292,18414823.60,84
1927-04-26,0.005388,0.005388,18145166.60,85
1927-04-27,-0.002215,-0.002215,18242938.20,85
1927-04-28,-0.011291,-0.011559,18202535.40,85
1927-04-29,0.006170,0.005951,17992129.00,85
1927-04-30,-0.000880,-0.000880,18099208.00,85
1927-05-02,0.002605,0.002122,18088304.20,85
1927-05-03,0.007939,0.007939,18126691.50,85
1927-05-04,0.007380,0.007380,18270606.10,85
1927-05-05,0.002867,0.002818,18405438.50,85
1927-05-06,0.003161,0.002724,18457309.60,85
1927-05-07,0.003837,0.003837,18507586.00,85
1927-05-09,0.001416,0.001416,18578604.10,85
1927-05-10,0.000371,-0.000043,18604915.20,85
1927-05-11,-0.003427,-0.003507,18604122.90,85
1927-05-12,-0.000937,-0.000937,18554135.00,85
1927-05-13,0.005798,0.005770,18605760.60,86
1927-05-14,0.000583,0.000583,18713102.40,86
1927-05-16,-0.006653,-0.007141,18724003.40,86
1927-05-17,0.005214,0.005214,18578523.60,85
1927-05-18,0.006618,0.006538,18675391.60,85
1927-05-19,0.001995,0.001995,18797485.50,85
1927-05-20,0.006046,0.004238,18834978.00,85
1927-05-21,0.001871,0.001871,18925781.60,86
1927-05-23,0.001302,0.001302,18961198.20,86
1927-05-24,-0.001726,-0.001726,18985879.50,86
1927-05-25,0.002411,0.002411,18953100.60,86
1927-05-26,0.002037,0.001560,18998796.60,86
1927-05-27,0.004676,0.004308,19016940.00,85
1927-05-28,0.001743,0.001743,19098873.00,85
1927-05-31,0.003515,0.003155,19132158.90,85
1927-06-01,0.004143,0.003328,19323089.50,85
1927-06-02,0.000989,0.000989,19403664.20,86
1927-06-03,-0.010333,-0.011356,19411406.20,85
1927-06-04,0.005088,0.005088,19190939.60,85
1927-06-06,0.004398,0.004398,19275243.00,84
1927-06-07,-0.003744,-0.004386,19372333.40,85
1927-06-08,0.002570,0.002417,19300133.00,86
1927-06-09,0.000182,0.000107,19346790.80,86
1927-06-10,-0.003577,-0.003954,19348855.40,86
1927-06-11,-0.000672,-0.000672,19272342.50,86
1927-06-14,-0.016542,-0.016542,19259386.90,86
1927-06-15,0.007675,0.007317,18904748.90,86
1927-06-16,0.007492,0.007448,19043076.60,86
1927-06-17,0.001421,0.000810,19173146.50,85
1927-06-18,-0.001852,-0.001852,19188672.10,85
1927-06-20,-0.001566,-0.001683,19153133.10,85
1927-06-21,-0.002909,-0.002909,19171388.80,85
1927-06-22,0.001242,0.001242,19115614.60,85
1927-06-23,-0.007725,-0.007725,19139347.20,85
1927-06-24,0.001931,0.001205,18991488.00,85
1927-06-25,-0.001342,-0.001342,19014375.80,85
1927-06-27,-0.011114,-0.011200,18988854.10,85
1927-06-28,0.002993,0.002993,18776225.20,85
1927-06-29,0.000509,0.000509,18832424.20,85
1927-06-30,0.000367,0.000017,18853235.60,86
1927-07-01,0.006433,0.005865,18844599.60,85
1927-07-02,0.005705,0.005705,18955129.90,85
1927-07-05,0.009470,0.009421,19063261.20,85
1927-07-06,0.005895,0.005895,19242864.70,85
1927-07-07,-0.001918,-0.001918,19191633.90,84
1927-07-08,-0.001520,-0.001749,19154822.90,84
1927-07-09,0.001414,0.001414,19170244.50,84
1927-07-11,0.004725,0.004476,19197344.40,84
1927-07-12,0.004533,0.004533,19408735.60,86
1927-07-13,0.002393,0.002393,19496708.20,86
1927-07-14,0.004560,0.004445,19543366.90,86
1927-07-15,0.002290,0.001681,19618856.20,85
1927-07-16,0.000733,0.000733,19651843.60,85
1927-07-18,0.001901,0.001901,19678404.90,86
1927-07-19,0.004540,0.004540,19715812.40,86
1927-07-20,0.004964,0.004703,19805330.50,86
1927-07-21,0.000468,0.000376,19898477.20,86
1927-07-22,-0.001104,-0.001416,19905965.40,86
1927-07-23,0.001644,0.001644,19877782.00,86
1927-07-25,0.004732,0.004732,19910464.20,86
1927-07-26,0.003809,0.003809,20004689.40,86
1927-07-27,0.001581,0.001581,20080885.50,86
1927-07-28,0.003050,0.003050,20112584.00,86
1927-07-29,0.004845,0.004672,20131467.90,86
1927-07-30,0.005953,0.005953,20225601.50,86
1927-08-01,0.006614,0.006185,20355724.10,86
1927-08-02,0.009027,0.009027,20503217.60,86
1927-08-03,-0.008569,-0.008569,20688290.40,86
1927-08-04,0.008589,0.008576,20511008.60,86
1927-08-05,-0.007225,-0.007379,20686891.50,86
1927-08-06,-0.002317,-0.002317,20578748.20,87
1927-08-08,-0.011062,-0.011062,20531063.00,87
1927-08-09,0.010021,0.009755,20303954.80,87
1927-08-10,0.003468,0.003119,20502016.20,87
1927-08-11,-0.009456,-0.009456,20606199.80,87
1927-08-12,-0.014298,-0.014411,20411341.00,87
1927-08-13,0.009217,0.009217,20117197.40,87
1927-08-15,0.013853,0.013421,20302626.40,87
1927-08-16,0.005423,0.005423,20575103.10,87
1927-08-17,0.001886,0.001886,20686691.10,87
1927-08-18,0.000995,0.000995,20725708.20,87
1927-08-19,0.003748,0.002855,20746332.40,87
1927-08-20,0.003334,0.003334,20855613.50,87
1927-08-22,0.005264,0.005264,20925140.00,87
1927-08-23,0.001171,0.001171,21035293.80,87
1927-08-24,0.002571,0.002571,21059925.00,87
1927-08-25,0.000992,0.000535,21114077.50,87
1927-08-26,0.004484,0.004219,21125369.90,87
1927-08-27,-0.001034,-0.001034,21112753.10,86
1927-08-29,0.001171,0.001171,21090926.40,86
1927-08-30,0.001139,0.001139,21217365.40,87
1927-08-31,-0.005796,-0.007051,21241522.80,87
1927-09-01,0.008470,0.008181,21138727.10,87
1927-09-02,0.006760,0.006269,21311660.80,87
1927-09-03,0.005680,0.005680,21445265.00,87
1927-09-06,0.009963,0.009778,21567065.80,87
1927-09-07,0.005067,0.005067,21785514.40,87
1927-09-08,-0.000931,-0.001066,21840654.00,87
1927-09-09,-0.005484,-0.005850,21817377.90,87
1927-09-10,0.004257,0.004257,21689736.40,87
1927-09-12,-0.004524,-0.004524,21782064.50,87
1927-09-13,0.013117,0.012880,21683521.00,87
1927-09-14,0.003457,0.003457,21962803.20,87
1927-09-15,0.004965,0.004788,22038729.50,87
1927-09-16,0.001131,0.000842,22144260.40,87
1927-09-17,-0.002767,-0.002767,22162908.80,87
1927-09-19,-0.005467,-0.005490,22101594.40,87
1927-09-20,0.004688,0.004432,21980258.60,87
1927-09-21,-0.001200,-0.001200,22077675.60,87
1927-09-22,-0.011843,-0.011843,22051182.10,87
1927-09-23,0.004719,0.004223,21790026.20,87
1927-09-24,0.007921,0.007921,21882050.10,87
1927-09-26,-0.010483,-0.010483,22055382.80,87
1927-09-27,0.002450,0.002450,21812743.00,86
1927-09-28,-0.003686,-0.003686,21866190.60,86
1927-09-29,0.002000,0.002000,21785582.10,86
1927-09-30,0.014108,0.013227,21829163.90,86
1927-10-01,0.005389,0.005389,22117908.20,86
1927-10-03,0.004169,0.004082,22237099.10,86
1927-10-04,-0.003871,-0.003871,22332244.00,86
1927-10-05,-0.003317,-0.003317,22245788.90,86
1927-10-06,0.003631,0.003631,22171998.50,86
1927-10-07,-0.008777,-0.008891,22252498.80,86
1927-10-08,-0.003508,-0.003508,22054651.80,86
1927-10-10,-0.006973,-0.007002,21977291.20,86
1927-10-11,0.001170,0.000982,21823415.00,86
1927-10-13,0.008006,0.007581,21844841.50,86
1927-10-14,-0.000254,-0.000677,22021675.80,87
1927-10-15,-0.000399,-0.000399,22006763.80,87
1927-10-17,-0.014490,-0.014490,21997981.40,87
1927-10-18,0.003989,0.003989,21679239.90,87
